Model,Label_Formulation,Language,Accuracy,Precision,Recall,F1_Score
BASE,"['concerning', 'normal']",Arabic,0.499083409715857,0.49952380952380954,0.9615032080659945,0.6574741460357254
BASE,"['concerning', 'normal']",English,0.5077910174152154,0.5059565522074282,0.6617781851512374,0.573471008737093
BASE,"['urgent', 'non-urgent']",Arabic,0.5082493125572869,0.5166051660516605,0.2566452795600367,0.34292712798530317
BASE,"['urgent', 'non-urgent']",English,0.5219981668194317,0.66,0.09074243813015583,0.15954875100725222
BASE,"['trigger', 'non-trigger']",Arabic,0.5219981668194317,0.5171428571428571,0.6636113657195234,0.5812926535527901
BASE,"['trigger', 'non-trigger']",English,0.4977085242896425,0.38095238095238093,0.007332722273143905,0.014388489208633093
BASE,"['distressed', 'stable']",Arabic,0.49679193400549954,0.4983420180009474,0.9642529789184234,0.6570893191755153
BASE,"['distressed', 'stable']",English,0.5022914757103575,0.5011504832029452,0.998166819431714,0.6672794117647058
BASE,"['needs support', 'doing well']",Arabic,0.500916590284143,0.5277777777777778,0.017415215398716773,0.03371783496007098
BASE,"['needs support', 'doing well']",English,0.500916590284143,0.55,0.01008249312557287,0.019801980198019806
NLI,"['concerning', 'normal']",Arabic,0.5087076076993584,0.5045607297167547,0.9633363886342805,0.6622558286074354
NLI,"['concerning', 'normal']",English,0.5077910174152154,0.5040227165168008,0.9761686526122824,0.6647940074906367
NLI,"['urgent', 'non-urgent']",Arabic,0.5164986251145738,0.5094339622641509,0.8909257561869844,0.648216072024008
NLI,"['urgent', 'non-urgent']",English,0.5242896425297892,0.5152914021927294,0.8185151237396884,0.6324362606232296
NLI,"['trigger', 'non-trigger']",Arabic,0.5192483959670028,0.510670731707317,0.921173235563703,0.6570774762994442
NLI,"['trigger', 'non-trigger']",English,0.5091659028414299,0.5049407114624506,0.9367552703941339,0.6561797752808989
NLI,"['distressed', 'stable']",Arabic,0.5320806599450045,0.5172413793103449,0.9624197983501375,0.6728612624158923
NLI,"['distressed', 'stable']",English,0.5137488542621448,0.5072533849129593,0.9615032080659945,0.6641342196897753
NLI,"['needs support', 'doing well']",Arabic,0.5178735105407882,0.5101298701298701,0.9000916590284143,0.6511936339522547
NLI,"['needs support', 'doing well']",English,0.5004582951420715,0.500243783520234,0.9404216315307058,0.6530872056015277
