model,language,sample_size,distribution,accuracy_mean,accuracy_std,accuracy_ci_lower,accuracy_ci_upper,precision_mean,precision_std,precision_ci_lower,precision_ci_upper,recall_mean,recall_std,recall_ci_lower,recall_ci_upper,f1_mean,f1_std,f1_ci_lower,f1_ci_upper
Llama3-8B-Arabic,arabic,300,0.05,0.7045666666666667,0.0218639988209944,0.7015103355904582,0.7076229977428752,0.12109668924947012,0.016900706565966806,0.11873416832590306,0.12345921017303718,0.7823333333333332,0.1098438285324518,0.7669784520317902,0.7976882146348763,0.20961928214069225,0.028896657126422566,0.2055798677637933,0.2136586965175912
Llama3-8B-Arabic,arabic,300,0.1,0.7110666666666665,0.02271993740210469,0.7078906853971796,0.7142426479361534,0.22739155970123354,0.021105774546851475,0.22444121950211812,0.23034189990034895,0.7845,0.07124897660083737,0.774540227173627,0.7944597728263729,0.35229663423352287,0.03091298960961573,0.3479753601804134,0.3566179082866323
Llama3-8B-Arabic,arabic,300,0.15000000000000002,0.7132666666666667,0.023478027552964874,0.7099847132689514,0.716548620064382,0.31603531168404264,0.02461700504631233,0.31259414256661755,0.31947648080146773,0.7785555555555556,0.06345514601319231,0.7696852690039829,0.7874258421071282,0.449125230046103,0.032524263050174786,0.44457871882897027,0.45367174126323573
Llama3-8B-Arabic,arabic,300,0.2,0.7171833333333333,0.02312309451608932,0.7139509954190187,0.7204156712476478,0.3952334527249428,0.026519050340415535,0.39152639994239685,0.3989405055074888,0.7752500000000001,0.0526513031388799,0.7678899642030849,0.7826100357969153,0.5231681992001956,0.03228770588392966,0.5186547559055602,0.5276816424948311
Llama3-8B-Arabic,arabic,300,0.25,0.7194333333333333,0.023513849346951065,0.7161463724681798,0.7227202941984867,0.46420403794307624,0.027190459502382837,0.4604031300197863,0.4680049458663662,0.7736666666666667,0.041018965803095955,0.7679326954510466,0.7794006378822869,0.5798502953716436,0.029035985878507174,0.5757914044663066,0.5839091862769805
Llama3-8B-Arabic,arabic,300,0.3,0.7255666666666667,0.022801340116561375,0.7223793062506696,0.7287540270826638,0.5295934282925836,0.02652433320024419,0.5258856370280793,0.5333012195570879,0.7765000000000001,0.04213701197021187,0.770609739019037,0.7823902609809632,0.6293176582299658,0.028636823693821825,0.6253145655251084,0.6333207509348231
Llama3-8B-Arabic,arabic,300,0.35000000000000003,0.7274,0.02295928763896844,0.7241905603694413,0.7306094396305588,0.5841195931770051,0.026916613073381817,0.5803569657786053,0.587882220575405,0.7741428571428571,0.03421126175455975,0.769360523256324,0.7789251910293903,0.665418114524346,0.02507832474348335,0.6619124583138655,0.6689237707348265
Llama3-8B-Arabic,arabic,300,0.4,0.7352666666666667,0.022411207513702208,0.732133842221318,0.7383994911120154,0.6387203771226979,0.02586555342235321,0.6351046755588944,0.6423360786865014,0.7814166666666666,0.03463810923117933,0.7765746644999495,0.7862586688333838,0.7024807680817482,0.024192384566436183,0.6990989559364335,0.7058625802270629
Llama3-8B-Arabic,arabic,300,0.45,0.7349333333333334,0.024551442591695775,0.7315013290795327,0.7383653375871342,0.6811283625609562,0.027224539317879562,0.6773226906784278,0.6849340344434847,0.7747407407407408,0.03331843288364077,0.7700832138781316,0.7793982676033501,0.7245345144482584,0.02484065364602231,0.7210620818748187,0.7280069470216982
Llama3-8B-Arabic,arabic,300,0.5,0.7379166666666667,0.022940593569769147,0.734709840248133,0.7411234930852003,0.7227277660320126,0.025606942791773626,0.7191482152068434,0.7263073168571819,0.7736333333333332,0.030523561027143896,0.7693664968370639,0.7779001698296024,0.7469079776919374,0.021825518205393173,0.7438570257553024,0.7499589296285724
Llama3-8B-Arabic,arabic,300,0.55,0.7428,0.023434163095788167,0.7395241783398826,0.7460758216601174,0.7606454080209388,0.02507575697700979,0.7571401107541509,0.7641507052877268,0.7780000000000001,0.028149606876641434,0.7740650145024013,0.781934985497599,0.7688726195860377,0.02091042854613354,0.7659495864709326,0.7717956527011428
Llama3-8B-Arabic,arabic,300,0.6000000000000001,0.7479833333333333,0.022580467222801215,0.7448268483621538,0.7511398183045128,0.7965354838579733,0.022981163035688333,0.7933229863030457,0.799747981412901,0.7798055555555555,0.02764511376020751,0.7759410922895994,0.7836700188215117,0.7877377379974158,0.019475813395188432,0.7850152472855614,0.7904602287092701
Llama3-8B-Arabic,arabic,300,0.6500000000000001,0.7519499999999999,0.023977483650754975,0.7485982284868806,0.7553017715131192,0.8286817792234535,0.02192874303919885,0.8256163976634922,0.8317471607834149,0.7801025641025641,0.02712408480172854,0.7763109345853856,0.7838941936197426,0.8033665001916372,0.01983385789723714,0.8005939590499765,0.806139041333298
Llama3-8B-Arabic,arabic,300,0.7000000000000001,0.7528333333333335,0.022987315342742107,0.7496199757579038,0.7560466909087631,0.8578557664675683,0.019025269982949518,0.8551962564502924,0.8605152764848443,0.7757380952380953,0.026158411107239078,0.7720814555983913,0.7793947348777994,0.81446964143054,0.018340379598542633,0.8119058710710823,0.8170334117899978
Llama3-8B-Arabic,arabic,300,0.7500000000000001,0.75715,0.02106444476679443,0.7542054372202942,0.7600945627797058,0.8856881297199726,0.01703875452317822,0.8833063113080967,0.8880699481318485,0.7767333333333333,0.02428626599643064,0.7733383976631629,0.7801282690035036,0.8273814944971106,0.01618241990081158,0.8251193816404445,0.8296436073537767
Llama3-8B-Arabic,arabic,300,0.8,0.7598666666666667,0.020682359633272022,0.7569755149156068,0.7627578184177266,0.9128177789068892,0.014511773533826267,0.9107892028542897,0.9148463549594887,0.7739166666666667,0.022830291768223685,0.7707252591487004,0.777108074184633,0.837437316411988,0.01532773222310059,0.8352946788869493,0.8395799539370268
Llama3-8B-Arabic,arabic,300,0.8500000000000001,0.7664166666666667,0.020714829631610938,0.7635209759899612,0.7693123573433723,0.9379088892344263,0.012998314387737266,0.9360918770525823,0.9397259014162702,0.7767450980392158,0.021853765851486108,0.7736901974123486,0.779799998666083,0.849561552480154,0.014648533051639972,0.8475138590479898,0.8516092459123181
Llama3-8B-Arabic,arabic,300,0.9000000000000001,0.7704833333333332,0.020886990900770962,0.7675635765266684,0.773403090139998,0.9594877667235184,0.010316144597660675,0.9580456904785172,0.9609298429685197,0.7779074074074075,0.021931360375071002,0.774841659974532,0.780973154840283,0.8590220335313018,0.014241586392685843,0.8570312264779884,0.8610128405846152
Llama3-8B-Arabic,arabic,300,0.9500000000000001,0.7720833333333332,0.02121434917953203,0.7691178156716381,0.7750488509950284,0.9803552703058392,0.00805656266224841,0.9792290571627793,0.9814814834488992,0.7756666666666666,0.02114330619220792,0.7727110799829084,0.7786222533504248,0.8659179950325699,0.013833522833360756,0.8639842304877036,0.8678517595774363
Llama3-8B-Arabic,arabic,500,0.05,0.7056399999999999,0.01661175487418472,0.7033178711402245,0.7079621288597754,0.1197274003083388,0.012459290794257455,0.1179857373145848,0.1214690633020928,0.7676,0.07604104154994197,0.7569703525938181,0.7782296474061818,0.2070834986041198,0.02110247554634029,0.20413361956665488,0.2100333776415847
Llama3-8B-Arabic,arabic,500,0.1,0.7081399999999999,0.015600653832452016,0.7059592112290314,0.7103207887709684,0.22392181848542797,0.01600897419255577,0.22168395130826984,0.2261596856625861,0.7768999999999999,0.056889278427485784,0.7689475448711585,0.7848524551288414,0.3475269045459065,0.024153559135504613,0.34415051974131183,0.3509032893505012
Llama3-8B-Arabic,arabic,500,0.15000000000000002,0.7127899999999999,0.01633633679868287,0.7105063713628963,0.7150736286371036,0.3160904941207079,0.01743308639316133,0.31365355272979983,0.31852743551161594,0.784,0.04332820482472513,0.7779432242031145,0.7900567757968856,0.4503509343148113,0.023102596216281836,0.4471214618228389,0.45358040680678374
Llama3-8B-Arabic,arabic,500,0.2,0.71478,0.016353336051093674,0.7124939950664173,0.7170660049335826,0.3925104290021652,0.018615735257117554,0.3899081671451912,0.3951126908591392,0.7757000000000001,0.04210118763170465,0.7698147468421694,0.7815852531578307,0.5210319759833772,0.023643427751116518,0.5177269015742788,0.5243370503924757
Llama3-8B-Arabic,arabic,500,0.25,0.7189099999999999,0.016759233276018335,0.7165672553861584,0.7212527446138415,0.4632547533211387,0.019325423708713325,0.46055328532686124,0.46595622131541614,0.77596,0.03353801425248669,0.7712717782326364,0.7806482217673636,0.579929248497119,0.021744644656173814,0.5768896017358889,0.5829688952583492
Llama3-8B-Arabic,arabic,500,0.3,0.7229099999999999,0.01748461895495582,0.720465854960238,0.7253541450397619,0.5261808778256064,0.020044720348895706,0.5233788605817429,0.5289828950694699,0.7760666666666667,0.030362184081884198,0.771822388778126,0.7803109445552073,0.6269615372644336,0.021608823232076614,0.6239408767482487,0.6299821977806185
Llama3-8B-Arabic,arabic,500,0.35000000000000003,0.73031,0.01661938326172185,0.7279868047809513,0.7326331952190487,0.586546661282711,0.018940549661519895,0.5838989941745613,0.5891943283908608,0.7797714285714286,0.02800489753086566,0.7758566717462758,0.7836861853965813,0.6692931654589451,0.01949076232713311,0.6665685850614101,0.6720177458564801
