Label_Formulation,Language,Accuracy,Precision,Recall,F1
"['concerning', 'normal']",Arabic,0.499083409715857,0.49952380952380954,0.9615032080659945,0.6574741460357255
"['concerning', 'normal']",English,0.5077910174152154,0.5059565522074282,0.6617781851512374,0.5734710087370929
"['urgent', 'non-urgent']",Arabic,0.5082493125572869,0.5166051660516605,0.2566452795600367,0.3429271279853031
"['urgent', 'non-urgent']",English,0.5219981668194317,0.66,0.09074243813015583,0.15954875100725222
"['trigger', 'non-trigger']",Arabic,0.5219981668194317,0.5171428571428571,0.6636113657195234,0.58129265355279
"['trigger', 'non-trigger']",English,0.4977085242896425,0.38095238095238093,0.007332722273143905,0.014388489208633094
"['distressed', 'stable']",Arabic,0.49679193400549954,0.4983420180009474,0.9642529789184234,0.6570893191755153
"['distressed', 'stable']",English,0.5022914757103575,0.5011504832029452,0.998166819431714,0.6672794117647058
"['needs support', 'doing well']",Arabic,0.500916590284143,0.5277777777777778,0.017415215398716773,0.03371783496007098
"['needs support', 'doing well']",English,0.500916590284143,0.55,0.01008249312557287,0.019801980198019802
