Label_Formulation,Language,Accuracy,Precision,Recall,F1
"['concerning', 'normal']",Arabic,0.5087076076993584,0.5045607297167547,0.9633363886342805,0.6622558286074354
"['concerning', 'normal']",English,0.5077910174152154,0.5040227165168008,0.9761686526122824,0.6647940074906367
"['urgent', 'non-urgent']",Arabic,0.5164986251145738,0.5094339622641509,0.8909257561869844,0.648216072024008
"['urgent', 'non-urgent']",English,0.5242896425297892,0.5152914021927294,0.8185151237396884,0.6324362606232294
"['trigger', 'non-trigger']",Arabic,0.5192483959670028,0.510670731707317,0.921173235563703,0.6570774762994442
"['trigger', 'non-trigger']",English,0.5091659028414299,0.5049407114624506,0.9367552703941339,0.6561797752808989
"['distressed', 'stable']",Arabic,0.5320806599450045,0.5172413793103449,0.9624197983501375,0.6728612624158924
"['distressed', 'stable']",English,0.5137488542621448,0.5072533849129593,0.9615032080659945,0.6641342196897753
"['needs support', 'doing well']",Arabic,0.5178735105407882,0.5101298701298701,0.9000916590284143,0.6511936339522546
"['needs support', 'doing well']",English,0.5004582951420715,0.500243783520234,0.9404216315307058,0.6530872056015277
